Sentence,Label
New to Twitter-- any women on here know what the process is to get #verified?,0
"RT @user Her:I don't get what u want outta this relationship Him:Well, I was only looking for a bj but u kept coming back",0
We are excited to host the #ImmigrantStories film screening and panel today with @user to show how the Trump administration’s overhaul of immigration policy has forced the immigrant community to choose between deportation and medical care.,0
UN wants ‘˜immediate halt’ to separation of migrant families in US #Trumpadministration #UnitedNations...,0
cormacs such a cunt won’t even let me squeeze his blackheads pussy bitch,1
Dont worry @user you are and will always be the most hysterical woman.,1
@user Skank traitor bitch @user,1
@user @user 2 hysterical women in the US Senate,1
"Jennifer Lawrence is complaining about being a whore, meanwhile she's punching old Asian women in face who are sewing her costumes for her",0
Germany: Islamic-inspired children’s park in Berlin to introduce children to Islam and the Islamic culture of the refugees - Free Speech Time - @user,1
"US Navy Seal, which killed Osama wrote a book. It tells how this specialforces work today.",0
It's clear that the administration's attempts to punish local governments for refusing to cooperate with immigration enforcement are unconstitutional. The administration should focus on treating immigrants with compassion and respect.,0
Curious to know how @user delivers emergency food supplies to #refugees and other vulnerable people around the world? Watch this video:,0
"HOW REFRESHING! In South Korea, there is no such thing as 'political correctness"" when it comes to dealing with Muslim refugee wannabes via @user",1
World Relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the U.S.-Mexico border. You can make a difference and help reunite families by making a donation today. âž,0
"Important note: not all women do this and tale responsibility for their actions, just like not all women are assholes.",0
International migration from sub-Saharan Africa has grown dramatically since 2010,0
"@user Noely I see you've become hysterical since I last saw you. Don't blam you one bit, you're in Qld right?",0
"Stop trying to please everyone, you're not my cock... Please yourself",0
"This is outrageous! But, sadly, this kind of corruption is what we've gotten used to with our current administration! 😠",0
@user thanks for ruining a beloved song from “The Sound of Music” by using that extremely creepy electronic version in your commercial.  Shame on you.,0
I hate bitches that are always mad at the world for no reason like bitch stfu and be happy hoe,1
The Ethiopia-Eritrea rapprochement: what does it mean for refugees?,0
"@user It's kind of funny, really. Were the space aliens illegal? Now we need a wall & a roof! I think this country has gone totally nuts. God Bless @user for his strength & courage. #BuildThatWall and if he blocks the democrats out, t",1
Talent- Meeting up with complete strangers for sex,0
President Trump Weekly Address ‘“ Immigration ReformÂ Needed‘¦,0
Pope Francis criticizes policy of migrant family separation via @user      Stick to religion Mr. Red Pope...,0
@user mmm perfect body and so am i am now come here girl i got a big cock for u to play with ;),1
"The first sexual attack against a woman happened in Hungary. The criminal is a ""legal"" afghan rapefugee. This is how Orban protects us.",1
@user One woman one vote right?Yet here we have one woman assuming he can demand the importation of millions of non citizens for  HIS agenda.He should be allowed a say on ONE migrant at most.  And be personally and directly responsible for everythin,1
"Anybody can dig a hole and plant a tree. But to make sure it survives, you have to nurture it, you have to suffer for it,jst lyk a wife.",0
@user Going to be where no one will leave the house or even look at a woman because she will claim “rape”.…,1
I didn’t realize girls who wear huge bows in their hair called other women “cunt”. “Northern Bell’s” must be bred t…,0
"#TakeAKnee trump's a chump! @user is the real deal-helping so many on his journey through greatness! Even @user can't stand #IQ45-stands to CLEAN UP while he's in prison. One hot, lucky #Immigrant babe! #OHi12 #VoteBlue @user in the #Columbus area. #BlueWave baby!",0
Its time - to stop the immigration - to USA ! Specially from 40 muslim countries. The president named it: SHITHOLE-countries. And he is right and also his wall must be build. But all foreign invaders inside of USA must go home !,1
Syria's military continues to advance in the south west,0
Homeland Security says he is a REFUGEE.  Iraqi refugee charged with attempted murder of Colorado police officer - - @user,0
@user @user @user Imagine THE SIZEof THAT RED WAVE !!GOD BLESS TRUMP!Build That Wall#BuildThatWall Plz share..,1
| Woman who accused Nelly of rape wants to drop charges,0
@user Exactly! Why would Americans vote for anyone that supports these absurd policies? IMO it is treason and self destruction to vote for politicians that do not up hold our laws and advocates for illegals over Americans. #BuildThatWall #NoDACA,1
"They do not need them, I do not need them nor do I require them to enrich my life. #Stoptheinvasion #Brexit #Sodyoueu #Nosurrender",1
"“When Mexico sends its people, they’re not sending their best... They’re bringing drugs. They’re bringing crime. They’re rapists. And some, I assume, are good people.” Strangely, @user depends on foreign workers for his properties. #Immigration",1
"Germany Navy rescued 22.000 refugees in the middlesea. Germany has not enough refugees, it wants more! by state duty. The citiziens will give the answer in elections.",0
Why weren't the democrats in the streets marching for the separated families of people like Jamiel Shaw when he was separated from his daughter forever after Jamiel Jr. was shot and murdered by an illegal alien? #separatingfamilies #BuildThatWall #MAGA #BGR #BlacksGoneRed,1
@user @user BUT. I would bet you're not looking for facts.  That's why you obfuscate.President Trump at NATO: 'Immigration is taking over Europe'https://t.co/L8Kk9bM0TuThere is more.  And you know it.,1
@user @user Just choke on your salad sandwich already. Those Women did not die during the Gulf War and do you really think that it did not play on their conscience why they were fighting? They still went anyway. You are directing your crap at the,0
How keyboard gangsters feel leaving their stupid ass comments,0
Women want u to automatically believe women who scream rape they don't understand our position....,1
UK Pensioner Faces 350 Lashes In Saudi Arabia why does this country exist it does nothing for migrants picks on old women no help from anyone,0
HOLLERINGGGGGGG. stupid baby bitch.,1
